State,County,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Mammography screening,Flu vaccinations,High school completion,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone
State,County,Deaths,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,# Alcohol-Impaired Driving Deaths,# Chlamydia Cases,Teen Birth Rate,# Uninsured,# Primary Care Physicians,# Dentists,# Mental Health Providers,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated,# Completed High School,# Some College,# Unemployed,% Children in Poverty,80th Percentile Income,# Children in Single-Parent Households,# Associations,Annual Average Violent Crimes,# Injury Deaths,Average Daily PM2.5,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,# Workers who Drive Alone
Alabama,Autauga,836.0,20,4.5,5.4,10.0,20,35,6.5,32,63.0,18.0,323.0,23.0,4366.0,25.0,19.0,21.0,4931.0,42.0,42.0,33587,8733,1262.0,15.0,109878.0,3628.0,72,149.0,191.0,9.5,No,15,87.0,24949
Alabama,Baldwin,3377.0,17,4.2,5.2,8.0,20,30,7.4,28,75.0,57.0,750.0,24.0,19085.0,154.0,112.0,228.0,3578.0,44.0,46.0,140740,33289,5425.0,12.0,120479.0,8613.0,226,408.0,817.0,7.2,No,12,83.0,97098
Alabama,Barbour,539.0,31,5.9,6.1,12.0,28,40,5.7,42,50.0,12.0,221.0,35.0,2194.0,9.0,9.0,6.0,4548.0,46.0,36.0,13300,2566,605.0,38.0,79175.0,2822.0,18,106.0,103.0,9.0,No,15,84.0,8555
Alabama,Bibb,460.0,25,5.2,5.8,10.0,25,41,7.6,38,11.0,6.0,121.0,34.0,1824.0,13.0,6.0,6.0,6329.0,37.0,33.0,12931,2392,573.0,22.0,87594.0,1666.0,20,20.0,116.0,9.4,No,11,88.0,8107
Alabama,Blount,1143.0,23,4.9,5.7,8.0,22,39,7.8,33,23.0,14.0,234.0,30.0,6663.0,13.0,11.0,10.0,4260.0,37.0,40.0,32976,7843,1008.0,19.0,100031.0,3012.0,43,279.0,303.0,9.4,No,10,88.0,22636
Alabama,Bullock,203.0,31,5.5,5.7,15.0,25,44,4.6,41,2.0,8.0,75.0,40.0,752.0,3.0,2.0,2.0,3775.0,41.0,28.0,5084,640,265.0,39.0,88821.0,1333.0,8,33.0,50.0,9.0,No,17,80.0,3985
Alabama,Butler,441.0,27,5.3,6.0,13.0,25,40,6.9,41,42.0,19.0,207.0,39.0,1755.0,5.0,7.0,13.0,5885.0,39.0,28.0,11934,1777,801.0,31.0,98464.0,1809.0,18,117.0,104.0,8.8,No,13,86.0,7894
Alabama,Calhoun,2476.0,24,4.9,5.7,9.0,23,36,5.9,33,49.0,16.0,829.0,30.0,10767.0,70.0,77.0,161.0,5234.0,35.0,39.0,67180,16656,3260.0,17.0,97379.0,7621.0,152,871.0,528.0,9.4,No,13,85.0,47349
Alabama,Chambers,686.0,25,5.1,5.8,13.0,24,40,7.0,37,57.0,12.0,240.0,37.0,3178.0,15.0,7.0,1.0,4068.0,37.0,43.0,19631,4310,1078.0,26.0,86774.0,2205.0,60,181.0,169.0,9.3,No,15,87.0,14187
Alabama,Cherokee,600.0,24,5.2,6.0,8.0,25,34,7.2,36,25.0,8.0,72.0,33.0,2580.0,10.0,4.0,6.0,5476.0,40.0,49.0,15855,2890,530.0,23.0,87087.0,1021.0,22,86.0,128.0,9.2,Yes,11,86.0,10206
Alabama,Chilton,848.0,25,5.2,5.9,9.0,24,39,7.0,35,40.0,15.0,150.0,43.0,4995.0,10.0,13.0,27.0,4755.0,41.0,42.0,24668,4813,974.0,21.0,93180.0,2723.0,66,223.0,195.0,9.5,No,15,86.0,17573
Alabama,Choctaw,272.0,27,5.4,6.1,12.0,25,40,5.8,38,24.0,12.0,63.0,30.0,1158.0,5.0,6.0,1.0,3292.0,50.0,33.0,7660,1712,308.0,29.0,88929.0,1119.0,27,17.0,62.0,9.2,No,12,86.0,4338
Alabama,Clarke,536.0,28,5.4,6.0,13.0,25,44,5.4,40,33.0,14.0,184.0,38.0,2209.0,11.0,8.0,21.0,4617.0,35.0,28.0,13799,2314,700.0,29.0,91216.0,1862.0,38,116.0,118.0,9.2,Yes,13,89.0,8056
Alabama,Clay,285.0,27,5.5,6.2,8.0,26,37,7.3,37,57.0,9.0,74.0,34.0,1480.0,5.0,2.0,2.0,4703.0,39.0,41.0,7615,1096,245.0,24.0,91273.0,689.0,15,42.0,69.0,7.0,No,10,89.0,5285
Alabama,Cleburne,301.0,23,5.1,5.9,8.0,24,36,7.1,34,41.0,8.0,35.0,31.0,1506.0,3.0,,8.0,5732.0,27.0,40.0,8661,1728,262.0,20.0,89653.0,590.0,13,16.0,83.0,9.0,No,11,86.0,5697
Alabama,Coffee,895.0,22,4.6,5.4,9.0,21,35,6.9,33,55.0,16.0,334.0,26.0,5604.0,25.0,18.0,46.0,4515.0,43.0,35.0,30778,8583,944.0,21.0,109562.0,3705.0,68,142.0,184.0,8.6,No,10,86.0,22423
Alabama,Colbert,1138.0,22,4.8,5.7,11.0,22,36,6.7,33,43.0,19.0,322.0,30.0,4721.0,34.0,29.0,24.0,6652.0,39.0,47.0,33487,7267,1550.0,21.0,89389.0,3692.0,90,218.0,212.0,7.5,No,12,87.0,23216
Alabama,Conecuh,335.0,28,5.4,6.0,14.0,25,41,6.4,40,36.0,4.0,72.0,31.0,1112.0,5.0,2.0,7.0,11154.0,37.0,43.0,7498,1232,331.0,35.0,76083.0,1297.0,9,48.0,65.0,8.8,No,10,88.0,3951
Alabama,Coosa,253.0,25,5.1,5.8,15.0,24,39,7.1,35,4.0,9.0,90.0,33.0,891.0,,,2.0,3364.0,36.0,41.0,6887,1043,242.0,29.0,86981.0,584.0,11,27.0,60.0,9.2,No,10,79.0,4077
Alabama,Covington,899.0,24,5.1,5.9,11.0,25,37,6.8,36,55.0,10.0,160.0,40.0,3608.0,17.0,14.0,28.0,8809.0,42.0,39.0,22502,4356,738.0,23.0,88070.0,2181.0,41,125.0,166.0,8.6,No,12,88.0,14696
Alabama,Crenshaw,337.0,25,5.1,5.9,11.0,24,36,6.5,36,21.0,9.0,110.0,32.0,1471.0,2.0,3.0,9.0,5496.0,40.0,35.0,7633,1611,357.0,26.0,90947.0,1074.0,14,45.0,66.0,8.7,Yes,9,78.0,5622
Alabama,Cullman,1654.0,22,4.9,5.8,9.0,23,33,7.4,34,45.0,34.0,192.0,37.0,9008.0,50.0,41.0,128.0,5447.0,46.0,43.0,47782,11204,1650.0,17.0,92153.0,3507.0,89,106.0,407.0,9.3,No,12,87.0,34837
Alabama,Dale,873.0,23,4.9,5.6,8.0,22,38,6.5,33,27.0,11.0,279.0,32.0,4777.0,12.0,16.0,52.0,4944.0,43.0,40.0,28599,7657,1009.0,26.0,91209.0,3406.0,56,214.0,200.0,8.6,No,14,83.0,19546
Alabama,Dallas,934.0,29,5.6,6.0,14.0,24,47,6.2,41,56.0,22.0,348.0,35.0,3263.0,28.0,12.0,23.0,6769.0,43.0,38.0,21500,4742,1570.0,42.0,73129.0,5867.0,48,380.0,221.0,9.1,No,18,89.0,13697
Alabama,DeKalb,1356.0,27,5.6,6.0,8.0,25,35,,41,39.0,24.0,214.0,35.0,10814.0,32.0,20.0,21.0,4613.0,34.0,42.0,37691,8831,1388.0,20.0,84462.0,3557.0,62,196.0,368.0,7.1,No,12,84.0,29794
Alabama,Elmore,1345.0,21,4.4,5.4,9.0,20,36,7.6,33,45.0,22.0,456.0,24.0,5781.0,19.0,13.0,21.0,4897.0,46.0,39.0,49420,12093,1777.0,17.0,115691.0,4178.0,91,195.0,310.0,9.6,No,11,86.0,34897
Alabama,Escambia,839.0,28,5.5,6.0,10.0,25,39,6.8,39,40.0,16.0,253.0,42.0,3875.0,12.0,14.0,30.0,6708.0,37.0,36.0,20653,3662,864.0,26.0,72416.0,3476.0,52,169.0,216.0,8.9,Yes,11,91.0,12374
Alabama,Etowah,2329.0,23,4.9,5.8,9.0,24,35,6.2,34,45.0,13.0,623.0,38.0,10281.0,83.0,52.0,135.0,5156.0,29.0,38.0,61597,14027,3126.0,23.0,91735.0,7507.0,155,619.0,493.0,7.7,No,10,88.0,42147
Alabama,Fayette,365.0,25,5.3,6.1,10.0,25,37,7.1,35,26.0,5.0,70.0,36.0,1508.0,16.0,5.0,2.0,4470.0,39.0,48.0,9743,1806,326.0,24.0,86378.0,1006.0,13,,77.0,8.9,No,11,82.0,6354
Alabama,Franklin,585.0,26,5.2,5.7,10.0,23,38,7.1,37,52.0,6.0,120.0,44.0,3952.0,14.0,8.0,1.0,7638.0,35.0,38.0,16578,3343,638.0,23.0,83670.0,2572.0,23,83.0,138.0,8.5,No,10,83.0,12911
Alabama,Geneva,601.0,25,5.3,6.1,8.0,25,36,6.6,35,23.0,9.0,108.0,40.0,3009.0,8.0,2.0,6.0,4727.0,40.0,43.0,15289,2809,444.0,32.0,85950.0,1573.0,26,111.0,112.0,8.4,No,12,86.0,10391
Alabama,Greene,210.0,36,6.3,6.4,16.0,28,47,4.2,46,4.0,15.0,94.0,46.0,708.0,4.0,,1.0,5988.0,34.0,25.0,4668,872,328.0,44.0,54838.0,1236.0,8,55.0,35.0,9.1,No,18,73.0,2270
Alabama,Hale,340.0,29,5.5,6.0,12.0,26,44,6.8,40,26.0,10.0,172.0,34.0,1335.0,3.0,2.0,4.0,6246.0,38.0,33.0,8085,1650,572.0,30.0,80542.0,1747.0,10,29.0,69.0,9.2,No,15,91.0,5185
Alabama,Henry,343.0,23,4.9,5.7,11.0,23,39,7.2,35,24.0,4.0,101.0,28.0,1632.0,5.0,5.0,4.0,3397.0,48.0,37.0,9829,1918,327.0,24.0,98545.0,837.0,22,34.0,72.0,8.5,No,9,86.0,6801
Alabama,Houston,1736.0,23,4.9,5.7,11.0,22,40,7.2,36,71.0,30.0,734.0,33.0,11329.0,90.0,71.0,170.0,4361.0,44.0,45.0,63299,15657,2497.0,23.0,102000.0,7942.0,124,508.0,377.0,7.6,No,13,88.0,44153
Alabama,Jackson,1226.0,24,5.3,6.1,9.0,24,39,6.8,36,34.0,17.0,133.0,31.0,5584.0,28.0,19.0,29.0,4751.0,47.0,43.0,30966,6097,1203.0,23.0,86549.0,2735.0,48,163.0,245.0,8.7,Yes,11,86.0,19369
Alabama,Jefferson,11877.0,19,4.4,5.2,11.0,18,34,6.8,30,73.0,63.0,5918.0,25.0,57398.0,739.0,594.0,1379.0,4303.0,45.0,46.0,407389,124466,19675.0,20.0,115667.0,54536.0,953,5623.0,3551.0,10.2,No,16,82.0,297059
Alabama,Lamar,274.0,25,5.4,6.1,9.0,25,36,7.1,37,7.0,5.0,51.0,37.0,1257.0,,3.0,2.0,4035.0,39.0,42.0,8138,1500,278.0,21.0,90845.0,845.0,10,23.0,70.0,9.0,No,9,90.0,5135
Alabama,Lauderdale,1624.0,21,4.7,5.6,10.0,21,33,7.2,30,52.0,14.0,455.0,20.0,8571.0,51.0,52.0,153.0,4202.0,41.0,51.0,56793,12469,2321.0,20.0,95086.0,4722.0,129,248.0,372.0,8.5,No,12,86.0,40603
Alabama,Lawrence,759.0,25,5.3,6.1,9.0,26,36,6.8,35,47.0,10.0,99.0,35.0,3906.0,5.0,3.0,43.0,6436.0,41.0,37.0,18904,4143,703.0,22.0,96064.0,1693.0,38,84.0,170.0,8.7,No,10,89.0,12880
Alabama,Lee,1915.0,20,4.5,5.3,9.0,18,34,6.8,29,64.0,28.0,738.0,15.0,14928.0,80.0,53.0,178.0,3411.0,36.0,45.0,89746,31806,3935.0,17.0,111631.0,9271.0,144,652.0,521.0,9.6,No,19,83.0,74480
Alabama,Limestone,1429.0,21,4.5,5.4,9.0,21,34,7.4,31,55.0,30.0,338.0,22.0,9428.0,36.0,28.0,51.0,4999.0,44.0,48.0,57962,15779,1900.0,14.0,119634.0,4000.0,81,147.0,292.0,8.8,No,11,89.0,41872
Alabama,Lowndes,267.0,32,5.7,6.1,15.0,26,46,5.1,43,1.0,9.0,90.0,30.0,826.0,1.0,,,5014.0,49.0,37.0,5665,948,488.0,38.0,74323.0,1154.0,6,56.0,63.0,8.9,Yes,17,86.0,3522
