State,County,State_County,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Workers_Drive_Alone_to_Work,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation_Black_white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Alabama,Autauga,Alabama_Autauga,836,20,4.5,5.4,10,20,35,6.5,32,63,18,323,23,4366,25,19,21,4931,42,42,33587,8733,1262,15,109878,3628,72,149,191,9.5,15,87,24949,76.6,836,27,30,14,11,104,8670,7106,14,74,38,4050,45,89,9.393120393,3.1,2.9,0.06,8600,0.72,67565,45,28,18,15,6,52,49,8,155,16088,2862,83,56145,51.5,22921
Alabama,Baldwin,Alabama_Baldwin,3377,17,4.2,5.2,8,20,30,7.4,28,75,57,750,24,19085,154,112,228,3578,44,46,140740,33289,5425,12,120479,8613,226,408,817,7.2,12,83,97098,77.7,3377,97,84,13,9,328,28590,14466,118,252,36,17611,70,90,6,3.2,3,0.09,10046,0.75,71135,46,40,17,66,3,214,153,26,134,64716,9296,85,229287,51.6,77060
Alabama,Barbour,Alabama_Barbour,539,31,5.9,6.1,12,28,40,5.7,42,50,12,221,35,2194,9,9,6,4548,46,36,13300,2566,605,38,79175,2822,18,106,103,9,15,84,8555,72.9,539,17,115.0238291,19,17,105,5250,2865,125.2815804,50,41,2027,61,85,9.393120393,2.4,2,0.04,8813,0.73,38866,60,20,24,8,11,20,32,24,102,5775,1055,65,24589,47.2,18613
Alabama,Bibb,Alabama_Bibb,460,25,5.2,5.8,10,25,41,7.6,38,11,6,121,34,1824,13,6,6,6329,37,33,12931,2392,573,22,87594,1666,20,20,116,9.4,11,88,8107,73.6,460,15,115.0238291,16,13,40,3680,102,16,41,40,1693,145,92,9.393120393,2.7,2.6,0.09,9909,0.79,50907,59,48,21,5,10,18,20,24.62576375,27,5428,650,76,22136,46.8,15663
Alabama,Blount,Alabama_Blount,1143,23,4.9,5.7,8,22,39,7.8,33,23,14,234,30,6663,13,11,10,4260,37,40,32976,7843,1008,19,100031,3012,43,279,303,9.4,10,88,22636,74.2,1143,38,31,16,11,35,8380,1440,31,124,39,6076,26,95,14,2.9,2.8,0.11,9021,0.85,55203,52,52,22,16,7,61,59,6,43,16132,1722,80,57879,50.6,51562
Alabama,Bullock,Alabama_Bullock,203,31,5.5,5.7,15,25,44,4.6,41,2,8,75,40,752,3,2,2,3775,41,28,5084,640,265,39,88821,1333,8,33,50,9,17,80,3985,73.8,203,71.92515924,115.0238291,18,18,52,1610,3529,125.2815804,36,45,706,90,93,9.393120393,2.1,2,0.01,10229,0.68,33124,75,31,36,5,15,94.68310727,13,12,40,2531,387,61,9976,45.3,5607
Alabama,Butler,Alabama_Butler,441,27,5.3,6,13,25,40,6.9,41,42,19,207,39,1755,5,7,13,5885,39,28,11934,1777,801,31,98464,1809,18,117,104,8.8,13,86,7894,73.5,441,14,115.0238291,17,15,65,3280,1449,125.2815804,53,42,1621,82,93,9.393120393,2.5,2.1,0.11,9541,0.82,42268,80,29,28,5,19,13,26,24.62576375,58,4872,668,74,19504,53.4,14921
Alabama,Calhoun,Alabama_Calhoun,2476,24,4.9,5.7,9,23,36,5.9,33,49,16,829,30,10767,70,77,161,5234,35,39,67180,16656,3260,17,97379,7621,152,871,528,9.4,13,85,47349,72.8,2476,57,71,16,13,262,19660,18258,66,176,38,10100,71,93,7,2.9,2.8,0.21,10363,0.78,50259,60,46,19,33,10,126,149,32,171,31370,4144,80,113469,51.9,39955
Alabama,Chambers,Alabama_Chambers,686,25,5.1,5.8,13,24,40,7,37,57,12,240,37,3178,15,7,1,4068,37,43,19631,4310,1078,26,86774,2205,60,181,169,9.3,15,87,14187,73.8,686,24,24,16,14,115,5190,2772,10,59,41,3001,15,87,13,2.6,2.5,0.16,10198,0.75,39318,71,33,33,12,11,45,45,26,115,9133,1268,75,32865,52.3,16816
Alabama,Cherokee,Alabama_Cherokee,600,24,5.2,6,8,25,34,7.2,36,25,8,72,33,2580,10,4,6,5476,40,49,15855,2890,530,23,87087,1021,22,86,128,9.2,11,86,10206,74,600,13,115.0238291,16,11,27,4170,1302,14,58,38,2409,76,92,9.393120393,2.8,2.6,0.07,10804,0.77,50388,61,42,17,7,8,30,33,15,1,8477,649,75,26294,50.4,22282
Alabama,Chilton,Alabama_Chilton,848,25,5.2,5.9,9,24,39,7,35,40,15,150,43,4995,10,13,27,4755,41,42,24668,4813,974,21,93180,2723,66,223,195,9.5,15,86,17573,74.4,848,19,22,17,12,50,7590,1907,24,78,39,4575,27,88,9.393120393,2.8,2.7,0.07,8791,0.8,52693,65,35,22,10,5,31,33,24.62576375,42,12878,1679,75,44397,51,37858
Alabama,Choctaw,Alabama_Choctaw,272,27,5.4,6.1,12,25,40,5.8,38,24,12,63,30,1158,5,6,1,3292,50,33,7660,1712,308,29,88929,1119,27,17,62,9.2,12,86,4338,74.2,272,71.92515924,115.0238291,17,15,25,2440,1808,125.2815804,36,42,1060,40,93,9.393120393,2.5,2.1,0.14,11225,0.5,41649,75,43,26,7,7.185520362,94.68310727,87.70101277,8,1,4350,319,63,12418,52.7,13859
Alabama,Clarke,Alabama_Clarke,536,28,5.4,6,13,25,44,5.4,40,33,14,184,38,2209,11,8,21,4617,35,28,13799,2314,700,29,91216,1862,38,116,118,9.2,13,89,8056,71.7,536,22,115.0238291,18,15,38,4490,4740,10,54,43,2052,77,91,19,3,2.8,0.03,10634,0.67,44178,71,24,28,10,9,24,27,24.62576375,47,6761,935,63,23291,52.7,19628
